29.9962;0;2.855;1;ff00008b;-1.5
60.0038;0;2.855;2;ff00008b;-0.5
90;0;2.855;3;ff00008b;-3
119.996;0;2.855;4;ff00008b;-1.5
150.004;0;2.855;5;ff00008b;-1.5
180;0;2.855;6;ff00008b;-2
209.996;0;2.855;7;ff00008b;-1.5
240.004;0;2.855;8;ff00008b;-2.5
270;0;2.855;9;ff00008b;-2
299.996;0;2.855;10;ff00008b;-1.5
330.019;0;2.855;11;ff00008b;-2.5
0;1;2.855;12;ff00008b;-3
45;32.0172;2.941;13;ff00008b;-1
90;32.02;2.941;14;ff00008b;-2
135;32.0172;2.941;15;ff00008b;-1
180;32.02;2.941;16;ff00008b;-0.5
225;32.017;2.941;17;ff00008b;-0.5
270;32.02;2.941;18;ff00008b;-1
315;32.02;2.941;19;ff00008b;0
0;32.02;2.941;20;ff00008b;-0.5
90;66.669;2.909;21;ff00008b;-2
180;66.669;2.909;22;ff00008b;-2.5
270;66.669;2.909;23;ff00008b;-2.5
0;66.669;2.909;24;ff00008b;-1.5
0;90;2.941;25;ff00008b;-5
45;0;3.3;26;ff8b0000;-2.5
135;0;3.3;27;ff8b0000;-1.5
225;0;3.3;28;ffdf1b1b;-0.5
315;0;3.3;29;ff8b0000;-3
